name,url,variant,regular_price,sale_price,scraped_at
OREGANO,https://justingredients.co.uk/products/oregano?_pos=23&_sid=850c5f5b3&_ss=r,1kg,£21.91,£21.91,2025-07-27T18:55:51.310849
MULLEIN LEAVES,https://justingredients.co.uk/products/mullein-leaves?_pos=24&_sid=850c5f5b3&_ss=r,100g,£5.90,£4.43,2025-07-27T18:55:54.627367
MULLEIN LEAVES,https://justingredients.co.uk/products/mullein-leaves?_pos=24&_sid=850c5f5b3&_ss=r,250g,£11.81,£11.81,2025-07-27T18:55:54.654082
MULLEIN LEAVES,https://justingredients.co.uk/products/mullein-leaves?_pos=24&_sid=850c5f5b3&_ss=r,500g,£21.02,£21.02,2025-07-27T18:55:54.679935
MULLEIN LEAVES,https://justingredients.co.uk/products/mullein-leaves?_pos=24&_sid=850c5f5b3&_ss=r,1kg,£37.13,£37.13,2025-07-27T18:55:54.708955
STEVIA,https://justingredients.co.uk/products/stevia?_pos=25&_sid=850c5f5b3&_ss=r,100g,£14.41,£10.81,2025-07-27T18:55:57.518147
STEVIA,https://justingredients.co.uk/products/stevia?_pos=25&_sid=850c5f5b3&_ss=r,250g,£31.07,£31.07,2025-07-27T18:55:57.547123
STEVIA,https://justingredients.co.uk/products/stevia?_pos=25&_sid=850c5f5b3&_ss=r,500g,£56.53,£56.53,2025-07-27T18:55:57.574541
ORGANIC MINT (SPEARMINT),https://justingredients.co.uk/products/organic-mint?_pos=26&_sid=850c5f5b3&_ss=r,100g,£3.62,£2.72,2025-07-27T18:55:59.879971
CHIVE ROLLS,https://justingredients.co.uk/products/chive-rolls?_pos=27&_sid=850c5f5b3&_ss=r,100g,£7.49,£5.62,2025-07-27T18:56:02.232387
CHIVE ROLLS,https://justingredients.co.uk/products/chive-rolls?_pos=27&_sid=850c5f5b3&_ss=r,1kg,£51.25,£51.25,2025-07-27T18:56:02.257900
LOVAGE LEAVES,https://justingredients.co.uk/products/lovage-leaves?_pos=28&_sid=850c5f5b3&_ss=r,100g,£5.73,£4.30,2025-07-27T18:56:04.920944
LOVAGE LEAVES,https://justingredients.co.uk/products/lovage-leaves?_pos=28&_sid=850c5f5b3&_ss=r,250g,£11.65,£11.65,2025-07-27T18:56:04.950167
CHERVIL LEAF,https://justingredients.co.uk/products/chervil-leaf?_pos=29&_sid=850c5f5b3&_ss=r,500g,£26.12,£26.12,2025-07-27T18:56:07.254802
